BHK,Rent,Size,City,Bathroom,Area Type_Carpet Area,Area Type_Super Area,Tenant Preferred_Bachelors/Family,Tenant Preferred_Family,Furnishing Status_Semi-Furnished,Furnishing Status_Unfurnished,Floor Number,Total Floors
3,15000,1250,4,2,0,1,1,0,1,0,0,3
2,7000,700,4,1,0,1,1,0,0,1,2,3
3,8000,812,4,2,0,1,1,0,0,1,0,3
2,8000,550,4,1,0,1,1,0,0,1,0,2
1,5000,500,4,1,0,1,1,0,1,0,0,1
1,14000,320,4,1,1,0,0,0,0,0,1,2
2,5000,600,4,1,0,1,1,0,0,1,0,2
2,5000,420,4,1,1,0,0,0,0,1,0,2
3,12000,1100,4,1,0,1,0,0,0,1,0,2
1,3200,220,4,1,0,1,1,0,0,1,3,4
2,8500,700,4,2,1,0,1,0,1,0,0,2
3,16000,1200,4,2,1,0,1,0,0,1,0,2
2,14000,800,4,2,1,0,1,0,0,1,0,3
1,8000,300,4,1,1,0,0,0,0,0,0,1
2,7000,650,4,1,1,0,1,0,0,1,0,2
1,8000,600,4,1,0,1,1,0,0,0,1,2
1,3000,350,4,1,0,1,1,0,0,1,0,3
1,3800,500,4,1,1,0,0,0,0,1,1,3
1,6500,400,4,1,0,1,1,0,0,1,1,1
3,20000,1750,4,3,0,1,1,0,1,0,0,3
3,30000,1600,4,2,0,1,1,0,0,1,3,3
1,8000,300,4,1,1,0,1,0,1,0,0,2
2,14000,1100,4,2,0,1,1,0,1,0,1,3
2,7200,830,4,1,0,1,1,0,0,1,0,3
2,7000,600,4,2,1,0,1,0,1,0,0,2
1,7000,500,4,2,0,1,0,0,0,1,1,2
2,7500,900,4,1,1,0,1,0,0,1,1,2
2,8500,1250,4,2,1,0,0,1,0,1,0,1
2,12000,700,4,1,1,0,0,0,0,1,0,2
1,8500,850,4,2,1,0,0,0,0,1,0,1
2,9500,550,4,1,1,0,1,0,0,1,0,1
2,7500,550,4,2,1,0,1,0,0,0,0,1
2,12000,1200,4,1,0,1,1,0,0,1,0,1
3,20000,1100,4,2,1,0,0,0,0,1,0,1
2,8500,650,4,1,0,1,1,0,1,0,0,1
3,20000,1050,4,2,1,0,0,0,0,1,0,1
2,6000,960,4,2,0,1,1,0,1,0,0,2
2,5500,650,4,2,1,0,1,0,0,1,1,1
1,7000,550,4,1,0,1,1,0,1,0,0,2
2,7000,500,4,2,0,1,1,0,1,0,0,1
1,6500,450,4,1,0,1,0,1,0,1,3,4
2,10000,850,4,2,0,1,0,0,0,1,1,2
1,5200,300,4,1,1,0,1,0,0,1,0,3
2,13000,1000,4,3,1,0,1,0,1,0,1,2
2,7000,500,4,1,1,0,1,0,0,1,1,3
2,12000,756,4,1,1,0,1,0,1,0,0,3
1,15000,1000,4,1,0,1,1,0,0,1,2,3
1,5000,150,4,1,1,0,1,0,0,1,1,2
1,8000,800,4,1,1,0,0,0,0,1,0,2
2,8000,700,4,2,0,1,0,0,0,1,2,3
1,5000,420,4,1,0,1,0,0,0,1,3,3
2,10000,800,4,1,0,1,0,0,0,1,0,1
2,12000,288,4,1,1,0,0,0,0,1,2,3
2,8000,900,4,2,0,1,1,0,0,1,0,1
2,21000,850,4,2,1,0,0,0,0,1,1,1
1,5000,350,4,1,1,0,0,0,0,1,1,1
2,9000,600,4,1,0,1,1,0,0,1,0,2
2,8000,1600,4,1,1,0,0,0,1,0,0,2
2,7000,986,4,1,1,0,0,0,0,1,2,3
3,35000,1330,4,2,1,0,0,0,0,1,1,3
3,15000,1300,4,2,0,1,1,0,1,0,0,3
2,6200,800,4,1,1,0,0,0,0,1,0,2
2,9900,800,4,1,1,0,1,0,0,1,1,4
2,7000,850,4,1,0,1,0,0,0,1,0,3
1,5000,322,4,1,1,0,1,0,0,1,1,3
2,6500,800,4,1,1,0,1,0,0,0,0,2
4,40000,1500,4,2,1,0,0,0,0,1,0,2
3,40000,3500,4,2,0,1,1,0,1,0,1,2
2,12000,957,4,2,1,0,0,0,0,0,1,2
1,6500,850,4,1,1,0,0,0,0,1,1,3
2,10000,900,4,2,1,0,0,0,0,1,0,2
2,15000,600,4,1,0,1,1,0,1,0,0,2
1,5000,350,4,1,1,0,1,0,1,0,0,5
2,7000,800,4,1,0,1,1,0,0,1,0,2
2,6000,320,4,1,1,0,1,0,0,1,1,2
3,15000,800,4,1,1,0,1,0,0,1,0,4
2,10000,700,4,2,1,0,0,0,1,0,1,1
2,22000,1200,4,2,0,1,1,0,1,0,1,2
2,8500,750,4,1,1,0,1,0,1,0,1,2
3,35000,1200,4,3,0,1,1,0,1,0,0,3
2,7000,450,4,1,1,0,1,0,0,1,0,4
3,8500,1430,4,1,0,1,1,0,1,0,0,2
2,6000,450,4,1,0,1,1,0,0,1,1,3
4,35000,800,4,3,0,1,1,0,1,0,0,1
1,6000,400,4,1,0,1,1,0,0,1,1,2
2,8000,650,4,1,0,1,1,0,0,1,1,2
1,5000,450,4,1,1,0,1,0,0,1,1,2
2,6000,600,4,1,0,1,1,0,0,1,0,4
3,15000,1200,4,2,1,0,0,1,0,1,1,3
2,9000,700,4,1,1,0,0,0,0,1,3,3
1,5000,300,4,1,1,0,0,0,0,1,0,1
3,8000,1200,4,3,0,1,1,0,0,1,1,4
3,35000,1300,4,2,1,0,0,0,0,1,0,1
1,5500,400,4,1,0,1,1,0,0,1,0,1
3,35000,1320,4,2,1,0,0,0,0,1,0,2
2,11000,1000,4,2,0,1,1,0,0,0,0,1
2,10000,700,4,1,1,0,0,0,0,1,1,2
2,6500,800,4,2,1,0,1,0,0,1,0,2
2,6000,900,4,1,0,1,1,0,0,0,0,3
3,36125,1700,4,2,0,1,1,0,0,1,0,2
2,6800,600,4,1,1,0,0,0,0,1,0,2
2,8500,850,4,2,1,0,0,1,0,1,1,2
2,5000,550,4,1,1,0,0,0,0,1,1,3
1,6500,650,4,1,1,0,1,0,0,0,0,2
1,6500,800,4,1,1,0,1,0,0,1,0,1
2,4500,475,4,1,0,1,1,0,0,1,0,2
1,6000,200,4,1,1,0,1,0,0,1,0,1
1,10000,400,4,1,1,0,1,0,0,1,0,2
1,12000,500,4,1,0,1,1,0,0,0,0,2
2,12000,550,4,1,1,0,1,0,0,1,2,3
2,12000,800,4,1,0,1,1,0,0,1,1,2
2,9000,1000,4,2,0,1,1,0,0,0,2,3
1,5000,400,4,1,1,0,0,0,1,0,0,5
1,6000,300,4,1,1,0,1,0,0,1,1,2
2,5500,450,4,1,1,0,1,0,0,1,1,1
2,5500,450,4,1,1,0,1,0,0,1,1,2
2,8500,1100,4,2,1,0,1,0,0,1,0,1
1,5000,450,4,1,0,1,1,0,0,1,2,2
2,23000,1100,4,2,1,0,0,0,0,1,0,2
2,5500,650,4,1,1,0,1,0,0,1,2,2
2,8500,780,4,1,1,0,0,0,0,1,0,2
3,22000,1100,4,2,0,1,1,0,1,0,0,2
1,5500,800,4,1,0,1,1,0,0,1,2,3
1,7000,500,4,2,0,1,1,0,1,0,0,2
1,5000,400,4,1,1,0,0,0,0,1,3,5
1,5000,450,4,1,1,0,1,0,0,1,1,1
2,6500,550,4,1,0,1,1,0,0,1,0,1
2,8000,600,4,1,1,0,1,0,0,1,1,2
1,5500,200,4,1,0,1,1,0,0,1,1,3
2,6000,500,4,1,1,0,1,0,1,0,1,2
1,5500,450,4,1,1,0,0,0,0,1,0,3
2,10000,1050,4,2,0,1,1,0,0,1,0,1
3,10000,1000,4,2,1,0,0,0,0,1,2,5
2,10000,1200,4,2,0,1,1,0,1,0,0,3
3,12000,1100,4,2,0,1,0,1,1,0,1,1
1,5200,220,4,1,0,1,1,0,0,1,0,2
1,4000,350,4,1,0,1,1,0,0,1,1,1
3,30000,1100,4,1,1,0,0,0,0,1,0,3
2,5146,800,4,1,0,1,1,0,0,1,0,2
2,12000,950,4,1,0,1,1,0,0,1,0,2
3,7000,1200,4,1,0,1,1,0,0,1,0,3
2,8500,700,4,1,0,1,1,0,1,0,0,2
1,7000,500,4,1,0,1,1,0,0,1,1,3
2,9500,570,4,1,0,1,1,0,0,1,0,3
2,8000,650,4,1,0,1,1,0,0,1,2,3
3,15000,1200,4,3,0,1,1,0,0,1,1,2
5,22500,960,4,2,0,1,1,0,0,1,0,1
2,12500,1250,4,2,0,1,1,0,1,0,1,2
3,34000,120,4,2,0,1,1,0,0,0,2,5
3,14000,950,4,2,1,0,1,0,1,0,1,2
1,9500,600,4,1,1,0,1,0,0,1,1,2
2,7000,750,4,1,0,1,1,0,0,1,2,2
3,20000,1200,4,2,0,1,1,0,0,1,3,3
1,6500,400,4,1,1,0,1,0,1,0,0,2
1,7500,600,4,1,1,0,1,0,0,0,0,2
2,6500,700,4,1,0,1,1,0,0,1,0,2
2,9500,850,4,1,0,1,1,0,1,0,0,3
1,1800,500,4,1,0,1,1,0,1,0,0,1
2,7500,650,4,1,1,0,1,0,0,1,0,2
2,10000,800,4,2,0,1,1,0,1,0,0,3
3,15000,830,4,2,0,1,1,0,0,1,3,4
2,7000,600,4,1,0,1,0,0,0,1,0,2
2,6000,800,4,1,0,1,1,0,0,1,1,2
2,14000,1200,4,2,0,1,0,1,1,0,0,1
2,22000,1000,4,2,0,1,1,0,0,0,0,2
2,18000,750,4,2,1,0,1,0,0,1,0,2
2,10000,800,4,2,1,0,0,0,0,1,0,3
2,6000,1200,4,2,0,1,1,0,0,1,0,3
2,10000,750,4,1,1,0,1,0,0,1,4,4
3,10000,1500,4,2,0,1,1,0,1,0,11,19
1,5000,300,4,1,0,1,1,0,0,1,1,3
3,10000,800,4,1,1,0,0,0,0,1,0,2
2,7000,450,4,2,0,1,1,0,0,1,0,2
4,10000,1200,4,2,0,1,1,0,0,0,5,10
2,6000,500,4,2,0,1,1,0,1,0,11,14
2,18000,900,4,2,1,0,1,0,1,0,0,1
2,8000,460,4,1,1,0,0,0,0,1,0,2
2,8000,530,4,1,0,1,0,1,1,0,2,3
2,13000,650,4,2,1,0,1,0,1,0,0,4
2,20000,700,4,2,1,0,0,0,1,0,0,1
2,6000,400,4,1,0,1,1,0,0,1,2,3
2,12000,1000,4,2,0,1,1,0,0,1,0,2
1,10000,400,4,1,1,0,0,0,1,0,0,2
2,14000,700,4,2,1,0,0,0,0,1,0,3
2,10000,850,4,2,1,0,0,0,1,0,1,4
2,10500,558,4,2,1,0,1,0,0,1,3,3
2,6000,800,4,1,0,1,1,0,0,1,3,4
2,12000,900,4,2,1,0,1,0,0,1,1,2
3,14000,1600,4,2,0,1,1,0,0,0,1,3
1,3700,150,4,1,1,0,0,0,0,1,1,5
3,40000,1600,4,2,1,0,0,0,0,1,0,3
